"SubscriptionId","SubscriptionName","ResourceGroupName","ResourceType","Name","MissingTag"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/BGInfo","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/BGInfo","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/BGInfo","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/IaaSDiagnostics","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-APP-02/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-DB-01","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/IaaSDiagnostics","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-01/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-DB-02","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/IaaSDiagnostics","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-DB-02/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-ESB-01","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/BGInfo","Tier"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/IaaSDiagnostics","Tier"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-01/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-ESB-02","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/BGInfo","Tier"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/IaaSDiagnostics","Tier"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Data Classification"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Application"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Pillar"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Owner"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Division"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Environment"
,,"wellstar_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-ESB-02/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-RPT-01","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/IaaSDiagnostics","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-RPT-01/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-WEB-01","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/BGInfo","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/IaaSDiagnostics","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-01/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-PX-WEB-02","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/BGInfo","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/IaaSDiagnostics","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Environment"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-PX-WEB-02/MicrosoftMonitoringAgent","Tier"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines","WSD-SIT-APP-01","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-SIT-APP-01/BGInfo","Data Classification"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-SIT-APP-01/BGInfo","Application"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-SIT-APP-01/BGInfo","Pillar"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-SIT-APP-01/BGInfo","Owner"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-SIT-APP-01/BGInfo","Division"
,,"WellSTAR_rg","Microsoft.Compute/virtualMachines/extensions","WSD-SIT-APP-01/BGInfo","Environment"
